SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-dresden01,5514,3535,8350,2.090,0.600,0.102,0.018,45,4.2
sub-dresden02,6396,4178,9923,2.102,0.587,0.111,0.024,64,5.9
sub-fslAchieva01,6864,4724,11671,2.200,0.502,0.122,0.026,72,7.2
sub-fslAchieva02,5307,3625,8936,2.215,0.609,0.121,0.025,60,5.5
sub-fslAchieva03,4691,3222,7967,2.206,0.574,0.118,0.024,47,4.5
sub-fslAchieva04,5281,3725,9479,2.256,0.539,0.126,0.028,59,6.3
sub-fslAchieva05,5269,3523,8062,2.032,0.578,0.105,0.020,44,4.5
sub-fslPrisma01,6293,4012,9706,2.162,0.550,0.099,0.019,46,4.9
sub-fslPrisma02,7132,4497,9248,1.871,0.514,0.105,0.021,61,6.6
sub-fslPrisma03,5528,3661,9346,2.242,0.606,0.115,0.025,56,5.8
sub-fslPrisma04,6539,4244,11150,2.294,0.552,0.107,0.019,52,5.3
sub-fslPrisma05,4988,3287,8627,2.324,0.652,0.105,0.020,44,4.2
sub-fslPrisma06,7795,4808,9657,1.881,0.524,0.106,0.021,63,6.9
sub-geneva01,5712,3717,8405,2.030,0.609,0.114,0.021,55,5.1
sub-geneva02,5587,3492,8345,2.165,0.607,0.092,0.018,38,3.9
sub-geneva03,6890,4389,10795,2.216,0.642,0.095,0.017,49,4.8
sub-geneva04,7298,4808,11696,2.178,0.599,0.111,0.021,64,6.5
sub-geneva05,6294,4101,9074,2.002,0.565,0.108,0.023,55,5.7
sub-geneva06,6567,4182,10893,2.294,0.674,0.104,0.020,51,5.3
sub-hamburg01,10355,6600,16222,2.215,0.655,0.104,0.023,90,9.2
sub-hamburg02,5667,3633,8639,2.103,0.598,0.108,0.020,52,4.7
sub-hamburg03,5369,3640,8988,2.298,0.530,0.121,0.023,56,5.3
sub-hamburg04,7275,4581,10238,2.039,0.524,0.102,0.018,59,5.5
sub-hamburg05,6144,4006,10250,2.233,0.632,0.111,0.021,61,5.5
sub-hamburg06,6493,4249,10341,2.143,0.603,0.107,0.021,61,5.7
sub-juntendo750w01,5654,3741,8545,2.060,0.660,0.119,0.031,52,6.8
sub-juntendo750w02,5557,3615,8520,2.088,0.716,0.118,0.032,51,7.0
sub-juntendo750w03,6659,4430,10576,2.119,0.669,0.118,0.029,59,7.5
sub-juntendo750w04,6532,4267,8619,1.868,0.628,0.113,0.027,59,7.2
sub-juntendo750w05,5943,3865,8727,2.041,0.597,0.113,0.030,51,7.1
sub-juntendo750w06,6462,4278,9843,2.057,0.691,0.107,0.027,54,6.8
sub-mgh01,5827,3747,8107,1.960,0.619,0.105,0.021,50,5.0
sub-mgh02,5468,3581,7350,1.892,0.508,0.109,0.021,51,4.8
sub-mgh03,3125,2066,5441,2.437,0.461,0.116,0.021,34,2.7
sub-mgh04,8183,5265,12698,2.144,0.641,0.106,0.020,71,7.0
sub-mgh05,8508,5390,11714,1.982,0.541,0.099,0.018,66,6.4
sub-mgh06,5536,3461,7025,1.871,0.553,0.094,0.017,40,3.9
sub-milan05,5903,3703,7885,1.962,0.510,0.102,0.018,44,4.2
sub-milan06,5650,3535,7878,2.065,0.573,0.099,0.018,42,4.3
sub-mniPilot1,6719,4536,10759,2.129,0.523,0.117,0.022,73,6.0
sub-mniS01,6897,4262,9942,2.116,0.589,0.085,0.015,44,4.2
sub-mniS02,6983,4439,11073,2.210,0.558,0.099,0.018,56,5.1
sub-mniS03,5986,4105,9715,2.099,0.589,0.118,0.024,65,5.8
sub-mniS04,6726,4363,10849,2.211,0.575,0.107,0.020,61,5.6
sub-mniS05,6382,4486,12667,2.466,0.558,0.124,0.025,78,6.7
sub-mniS06,7483,4692,11316,2.147,0.573,0.094,0.018,58,5.4
sub-mniS07,5158,3524,10513,2.577,0.476,0.114,0.021,49,4.7
sub-mniS08,5503,3583,8974,2.237,0.543,0.103,0.021,48,4.6
sub-mniS09,4406,2995,8012,2.365,0.525,0.109,0.020,44,3.6
sub-mountSinai01,6044,3767,7360,1.838,0.526,0.098,0.019,41,4.5
sub-mountSinai02,5516,3521,8344,2.119,0.597,0.105,0.022,45,4.9
sub-mountSinai03,7421,4736,10036,1.939,0.603,0.106,0.020,60,6.3
sub-mountSinai04,7386,4687,10323,2.035,0.605,0.103,0.019,54,6.2
sub-mountSinai05,6734,4259,9570,2.073,0.611,0.103,0.020,51,5.7
sub-mountSinai06,6232,4040,9306,2.088,0.638,0.110,0.022,53,5.5
sub-mpicbs01,5873,3801,9080,2.131,0.609,0.103,0.019,52,4.7
sub-mpicbs02,5692,3740,10425,2.398,0.685,0.102,0.018,41,4.3
sub-mpicbs03,7759,4862,11169,2.072,0.589,0.098,0.020,63,6.4
sub-mpicbs05,5858,3875,10453,2.412,0.661,0.116,0.022,58,5.3
sub-mpicbs06,5904,3825,8868,2.088,0.634,0.102,0.017,50,4.3
sub-mpicbs07,6415,4208,9702,2.079,0.613,0.106,0.021,53,5.6
sub-nottwil01,5119,3483,8547,2.170,0.590,0.112,0.022,46,4.7
sub-nottwil02,6624,4429,11839,2.366,0.572,0.103,0.020,58,5.4
sub-nottwil03,5788,3904,9284,2.104,0.534,0.111,0.024,55,5.6
sub-nottwil04,5762,3870,9573,2.208,0.625,0.104,0.022,44,5.2
sub-nottwil05,6212,4150,9372,2.045,0.590,0.109,0.019,58,5.1
sub-nottwil06,6208,4170,9425,2.032,0.593,0.108,0.021,54,5.2
sub-nwu02,5438,3402,7356,1.956,0.689,0.099,0.019,41,4.5
sub-nwu03,7404,4836,11900,2.199,0.620,0.103,0.020,58,6.3
