SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-oxfordFmrib11,5887,3796,9543,2.248,0.630,0.103,0.021,49,5.1
sub-oxfordOhba01,6160,3828,8358,1.987,0.583,0.102,0.019,50,4.7
sub-oxfordOhba02,6695,4111,9415,2.070,0.569,0.101,0.020,53,5.6
sub-oxfordOhba03,6875,4358,9183,1.978,0.559,0.109,0.023,58,6.1
sub-oxfordOhba04,6877,4417,10711,2.227,0.639,0.103,0.021,54,6.2
sub-oxfordOhba05,8090,5208,11787,2.066,0.617,0.109,0.020,71,6.9
sub-pavia01,5417,3558,8895,2.165,0.742,0.102,0.019,42,4.5
sub-perform01,7679,4937,11685,2.166,0.629,0.118,0.038,77,10.9
sub-perform02,5501,3661,8278,2.046,0.615,0.128,0.041,58,8.4
sub-perform04,6307,4214,9782,2.077,0.629,0.127,0.039,75,10.3
sub-perform05,5430,3661,8628,2.076,0.618,0.121,0.034,53,6.8
sub-perform06,6537,4330,10272,2.178,0.680,0.126,0.037,66,9.5
sub-queensland01,7016,4515,10285,2.052,0.563,0.104,0.019,58,5.7
